round,avg_ul_mcs
1,27.8224
2,26.9686
3,27.1833
4,27.6907
5,27.6042
6,27.4436
7,27.7838
8,27.2704
9,27.8142
10,27.7052
11,27.7922
12,26.8636
13,27.533
14,27.3146
15,27.6875
16,27.3392
17,27.1862
18,27.6805
19,27.447
20,27.3667
21,27.1074
22,27.6172
23,27.6802
24,26.9592
25,27.5991
26,27.7279
27,26.9077
28,27.2088
29,27.7383
30,26.9049
31,27.5884
32,27.6958
33,27.2891
34,27.1382
35,27.5033
36,27.7301
37,27.4259
38,27.7611
39,27.7412
40,27.758
41,27.5834
42,27.7372
43,27.2679
44,26.7834
45,27.7954
46,27.5229
47,27.5533
48,27.6701
49,27.6867
50,27.7974
51,27.0496
52,27.2446
53,27.0598
54,27.5136
55,27.6649
56,27.539
57,27.6438
58,27.4488
59,27.7216
60,27.706
61,27.6047
62,27.3813
63,27.4355
64,27.4869
65,27.5643
66,26.3693
67,27.6769
68,27.4831
69,27.3208
70,27.0843
71,27.2236
72,27.5391
73,27.6003
74,27.716
75,27.7725
76,27.2222
77,27.3699
78,27.4286
79,27.4791
80,27.4847
81,27.6593
82,27.4421
83,27.1832
84,27.5758
85,27.4442
86,27.5601
87,27.7097
88,26.1444
89,27.6856
90,27.2328
91,27.7266
92,27.7831
93,27.533
94,26.828
95,27.5013
96,27.598
97,27.4878
98,27.8132
99,27.3947
100,27.6097
