round,ndi0_count,ndi1_count
1,250,5815
2,492,3806
3,463,6667
4,254,5269
5,553,7056
6,450,5434
7,139,8551
8,344,4145
9,100,4997
10,329,6400
11,447,7456
12,382,2770
13,123,2933
14,688,4779
15,502,6202
16,187,2655
17,425,3238
18,399,7309
19,352,2612
20,374,4014
21,329,2372
22,470,5269
23,298,4830
24,526,4823
25,642,6522
26,384,5243
27,333,3329
28,260,3633
29,281,5076
30,521,3696
31,122,2971
32,298,5283
33,726,5394
34,394,5364
35,322,3745
36,6,2069
37,143,3931
38,168,3427
39,240,5702
40,295,6168
41,269,4757
42,626,6688
43,423,2414
44,240,1676
45,178,4319
46,313,3839
47,230,3356
48,59,3197
49,150,3856
50,55,6440
51,344,2517
52,311,2526
53,283,1993
54,348,3299
55,218,3375
56,545,5103
57,356,4313
58,108,2851
59,75,3607
60,187,3493
61,301,3013
62,248,3730
63,440,4437
64,313,3154
65,48,2711
66,152,1172
67,170,4463
68,3,1622
69,169,2421
70,278,2295
71,47,1617
72,368,4657
73,172,3531
74,102,3444
75,126,4467
76,163,3190
77,290,3922
78,0,980
79,267,3327
80,182,3891
81,182,5623
82,134,2049
83,32,1005
84,47,3041
85,12,1753
86,10,1936
87,84,3471
88,162,1556
89,100,3376
90,73,1061
91,202,4634
92,100,5512
93,140,2524
94,105,1343
95,76,1781
96,216,4495
97,213,2905
98,129,3955
99,239,1167
100,94,2071
