round,total_numsym
1,68723
2,49802
3,82874
4,63947
5,86514
6,68208
7,101450
8,52380
9,59878
10,78552
11,91585
12,36725
13,35853
14,62763
15,77784
16,33309
17,42417
18,88806
19,34338
20,51344
21,31508
22,66359
23,59861
24,61933
25,83081
26,65651
27,42905
28,45528
29,62378
30,49049
31,36218
32,65204
33,70732
34,67093
35,47442
36,24411
37,47725
38,42053
39,69233
40,75728
41,58701
42,83577
43,33191
44,22370
45,52589
46,48623
47,41720
48,38170
49,46585
50,76226
51,33163
52,33114
53,26669
54,42299
55,42029
56,65354
57,54764
58,34762
59,43208
60,42911
61,38371
62,46693
63,56922
64,40483
65,32470
66,15547
67,54248
68,19083
69,30444
70,30112
71,19557
72,58781
73,43416
74,41623
75,53856
76,39272
77,49078
78,11516
79,42060
80,47699
81,67564
82,25594
83,12183
84,36282
85,20766
86,22839
87,41700
88,20147
89,40523
90,13292
91,56010
92,65672
93,31230
94,16887
95,21746
96,55134
97,36440
98,47641
99,16417
100,25386
