round,success_count
1,2
2,2
3,3
4,4
5,4
6,3
7,5
8,2
9,3
10,5
11,5
12,2
13,2
14,3
15,4
16,2
17,2
18,5
19,2
20,2
21,2
22,4
23,5
24,2
25,6
26,5
27,2
28,3
29,5
30,3
31,3
32,6
33,3
34,4
35,4
36,3
37,3
38,3
39,6
40,6
41,4
42,3
43,2
44,1
45,5
46,4
47,4
48,4
49,4
50,5
51,2
52,3
53,3
54,3
55,3
56,3
57,4
58,4
59,4
60,4
61,3
62,3
63,3
64,3
65,4
66,1
67,4
68,3
69,3
70,2
71,2
72,4
73,4
74,4
75,5
76,3
77,4
78,2
79,3
80,4
81,5
82,3
83,2
84,4
85,3
86,3
87,4
88,2
89,4
90,2
91,5
92,5
93,3
94,2
95,3
96,5
97,3
98,4
99,2
100,3
