round,total_tbSize
1,3180399
2,3572313
3,3958747
4,3768331
5,4694529
6,4230133
7,4380963
8,2980829
9,2754112
10,5170048
11,5662150
12,3242189
13,2080473
14,4648251
15,5926861
16,2412407
17,3259188
18,4707831
19,3362436
20,3448544
21,3169647
22,5568401
23,5446466
24,4045709
25,6920600
26,5487012
27,3755104
28,3325490
29,5094464
30,3937877
31,2805756
32,5972443
33,5699037
34,4715669
35,4088339
36,2743308
37,3281820
38,2835547
39,5626309
40,5736742
41,4198675
42,6129794
43,3258882
44,1916900
45,5065864
46,4318442
47,3867271
48,3293510
49,3618218
50,4319146
51,3196269
52,3390772
53,3018137
54,4260870
55,3444412
56,4782908
57,5086326
58,3724128
59,3843762
60,3764594
61,3833102
62,4089397
63,4372042
64,4375223
65,3673450
66,1802737
67,3867757
68,2432974
69,3139316
70,3349563
71,1779318
72,5367792
73,3847844
74,3831594
75,4576263
76,2829176
77,4421210
78,1649661
79,4484864
80,4348567
81,4449234
82,3135656
83,1650500
84,3350113
85,2645374
86,2431000
87,3684709
88,2143421
89,3412319
90,1879763
91,4715825
92,4405836
93,2810524
94,1796026
95,2827797
96,4757647
97,3095744
98,3974639
99,2306760
100,2955427
