round,total_numsym
1,96894
2,35106
3,44939
4,96924
5,96847
6,58741
7,60306
8,70135
9,78764
10,38599
11,91794
12,78016
13,81172
14,89763
15,92129
16,80569
17,68505
18,44237
19,73058
20,86521
21,79783
22,77024
23,84545
24,86383
25,76648
26,75289
27,62496
28,67827
29,64019
30,82334
31,65412
32,75749
33,44611
34,71140
35,41834
36,83021
37,70041
38,95119
39,70510
40,102523
41,41719
42,71102
43,65902
44,74902
45,79908
46,72180
47,52322
48,85921
49,61638
50,76854
51,40255
52,38073
53,53403
54,43838
55,59714
56,63248
57,44318
58,62178
59,57310
60,84364
61,61827
62,55804
63,75532
64,81768
65,67009
66,40535
67,50793
68,36814
69,63074
70,60782
71,80532
72,74363
73,36542
74,68485
75,93918
76,57313
77,56124
78,94942
79,55308
80,78316
81,24105
82,48268
83,74603
84,50981
85,93493
86,75819
87,94679
88,48015
89,85920
90,88988
91,72555
92,67470
93,65807
94,37235
95,83095
96,94605
97,78829
98,76127
99,51076
100,68261
