round,success_count
1,6
2,3
3,4
4,6
5,6
6,5
7,5
8,6
9,6
10,4
11,6
12,5
13,6
14,6
15,6
16,6
17,5
18,3
19,6
20,6
21,6
22,5
23,5
24,6
25,6
26,6
27,5
28,5
29,5
30,4
31,6
32,6
33,4
34,5
35,3
36,5
37,6
38,6
39,5
40,6
41,4
42,6
43,4
44,6
45,6
46,5
47,4
48,6
49,5
50,6
51,4
52,4
53,4
54,4
55,5
56,5
57,5
58,5
59,5
60,6
61,5
62,5
63,5
64,6
65,4
66,3
67,4
68,3
69,5
70,5
71,6
72,6
73,4
74,4
75,6
76,5
77,5
78,6
79,5
80,6
81,3
82,4
83,6
84,4
85,6
86,6
87,6
88,4
89,6
90,6
91,6
92,5
93,4
94,4
95,6
96,6
97,6
98,6
99,5
100,5
