round,ndi0_count,ndi1_count
1,151,8351
2,40,2968
3,123,3730
4,0,8242
5,146,8159
6,15,4991
7,1,5126
8,28,5938
9,1,6696
10,11,3270
11,4,7802
12,147,6511
13,170,6781
14,2,7630
15,6,7832
16,194,6779
17,61,5765
18,339,3495
19,0,6219
20,205,7234
21,0,6784
22,526,6261
23,367,6925
24,401,7071
25,208,6384
26,2,6404
27,11,5306
28,209,5603
29,61,5391
30,377,6871
31,94,5472
32,4,6441
33,7,3789
34,18,6034
35,250,3325
36,244,6895
37,2,5955
38,1,8094
39,85,5959
40,52,8674
41,208,3362
42,50,6013
43,379,5279
44,76,6297
45,105,6731
46,0,6139
47,93,4367
48,0,7313
49,1,5240
50,21,6527
51,14,3409
52,0,3238
53,138,4454
54,1,3725
55,1,5075
56,5,5371
57,71,3710
58,10,5278
59,97,4790
60,438,6841
61,9,5249
62,144,4619
63,30,6408
64,2,6951
65,300,5476
66,221,3258
67,296,4055
68,174,2982
69,0,5362
70,0,5170
71,81,6781
72,0,6329
73,5,3101
74,202,5660
75,64,7928
76,0,4874
77,314,4497
78,14,8069
79,91,4617
80,36,6630
81,56,2006
82,302,3849
83,288,6133
84,329,4048
85,30,7920
86,58,6409
87,2,8046
88,196,3956
89,53,7253
90,223,7518
91,7,6166
92,0,5736
93,382,5314
94,2,3165
95,2,7070
96,1,8043
97,17,6683
98,44,6444
99,111,4247
100,0,5803
