round,total_ul_rbg
1,54992
2,50261
3,42012
4,29945
5,42104
6,31434
7,31238
8,24049
9,22850
10,30617
11,22943
12,31263
13,26419
14,21990
15,24187
16,29364
17,32010
18,33748
19,22802
20,29450
21,21424
22,34532
23,32377
24,28968
25,28465
26,22860
27,31054
28,32851
29,30925
30,32114
31,28476
32,23221
33,30068
34,30994
35,31453
36,31965
37,20945
38,21301
39,32449
40,23752
41,32477
42,25432
43,33368
44,24336
45,25375
46,31440
47,31530
48,23296
49,31217
50,22961
51,31806
52,30915
53,32083
54,30057
55,31274
56,30411
57,32067
58,30598
59,32430
60,28971
61,30624
62,32867
63,31194
64,23753
65,33322
66,33645
67,34309
68,33599
69,31121
70,31438
71,25433
72,23425
73,31635
74,31890
75,22722
76,30926
77,27331
78,14616
79,22525
80,15946
81,22021
82,24564
83,23717
84,24304
85,17378
86,15802
87,15346
88,22510
89,17501
90,17408
91,15062
92,22215
93,23498
94,21297
95,17006
96,14761
97,16586
98,16576
99,22931
100,22148
