round,ids
1,2.15103;2.17003;4.41703;4.42157;4.51807;4.62757
2,1.5765;3.6185;4.138
3,1.3045;3.53996;3.945;3.9475;4.1245
4,1.715;1.74246;3.15796;4.00996;4.0955
5,2.68;3.0615;3.536;3.54046;3.54996
6,2.03296;2.1375;2.138;3.08096;3.08096
7,1.118;2.489;2.52996;2.6155
8,1.142;3.1065;3.1275;3.18246
9,1.063;2.53046;2.56;3.74296
10,1.11496;2.4215;2.4215;2.5465
11,1.1005;2.692;2.926;2.9345;3.139
12,2.0805;2.438;2.4815;2.9005
13,1.4505;1.601;3.4725;3.4725;3.626;3.62646
14,1.12204;2.7655;2.76954;2.96254;4.3585
15,1.20704;1.75453;3.04403;3.15003;3.336
16,2.24803;2.27753;2.27754;3.24654;3.2605
17,1.512;2.55553;2.5575;2.64104
18,1.47203;3.12053;3.1365;3.30004;3.45203;3.943
19,1.86554;2.19;2.648;4.73754
20,1.96354;2.9565;3.54603;3.54603;3.69904;4.68253
21,1.442;3.3075;3.46997;3.481
22,2.44;3.4615;3.618;4.707;4.86946
23,1.10497;2.74546;3.4235;3.43097;4.6125
24,1.61947;2.284;2.727;2.8045;3.334
25,1.611;1.6765;3.7495;4.0245;4.0835
26,1.4555;1.49897;2.399;2.4155
27,1.5755;1.661;3.2675;3.32;3.3465
28,2.1445;2.57046;2.6815;3.13347;4.074
29,1.5265;1.727;2.362;2.9265
30,2.5285;3.32701;3.43;3.4525;3.4845;3.543
31,2.2305;2.86547;2.8685;2.8905;2.9965
32,1.34396;1.53297;2.469;2.47
33,1.554;1.6005;3.155;3.15546;3.4085;3.4095
34,1.322;1.5375;2.524;2.5385
35,1.2765;1.474;2.97346;3.0545;3.178
36,1.0925;2.93846;2.941;2.995;4.4115
37,2.407;2.47;2.9765;4.10247
38,1.3125;1.5215;3.395;3.395;3.513;3.513
39,1.1245;2.7065;2.707;2.9475;2.9475
40,1.1525;2.426;2.472;3.144
41,2.199;2.4325;3.5415
42,2.7015;2.756;2.78;2.881;3.82147
43,1.0285;1.754;1.89297
44,1.076;2.922;3.05197;3.0585;4.0145
45,1.725;1.7325;1.933;3.11497;3.11547
46,1.5705;1.57551;2.4945;2.4945
47,1.07997;1.8645;2.3175
48,1.0935;2.597;2.798;2.80097;3.191;4.206
49,1.5715;2.55346;2.55446;2.58746
50,1.052;2.6705;2.6705;2.91496;2.91497
51,1.819;2.2205;2.5215
52,1.092;2.26746;3.977
53,1.559;1.559;2.0145;2.0545
54,1.12046;2.731;2.91847;3.7905;3.97646
55,2.14547;2.5055;2.5315;2.929;3.91846;4.06497
56,2.00003;2.02653;3.44953;3.45453;3.77703;3.88003
57,1.074;2.721;2.721;2.9775;2.9775
58,1.119;2.90097;3.04347;3.048;3.084
59,1.5015;1.747;1.7815
60,1.8495;2.0635;2.091;3.11;3.11
61,1.475;1.6125;3.5155;3.6185;3.6215;3.68297
62,1.2215;1.4965;1.65854
63,1.9635;2.09153;2.54153
64,2.07303;2.14904;2.15554;3.17604;3.19103
65,2.27203;2.287;2.38153;4.79503
66,1.50603;1.56703;2.26753;2.41003
67,3.01503;3.044;3.05403;3.06303
68,1.41303;1.57403;3.05053;3.16204;3.1765
69,1.29503;1.49454;2.94154;3.02703
70,1.47953;1.91703;2.777;2.87703
71,1.09553;2.76;3.45353;3.45354;3.48853;3.48854
72,1.48646;1.9135;2.088
73,1.044;2.0035;2.0045
74,2.223;2.44696;3.2795
75,1.0745;2.692;2.70796;2.9475;2.9605
76,1.276;1.6005;1.70446
77,1.14146;2.48;2.48196;2.54296
78,1.529;1.5605;2.9765;2.98;3.0395
79,1.396;1.4995;2.825;2.88246;3.33096
80,1.56;1.631;2.7855;2.786
81,1.066;2.40696;2.4245;2.48696
82,1.0955;2.5355;2.554;2.6065
83,1.629;2.33496;2.3405;3.53
84,1.331;1.7905;2.9815;3.2065
85,1.641;1.68446;3.066;3.078;3.179
86,1.571;1.6055;3.2195;3.2195;3.47846;3.47846
87,1.1315;2.67753;2.69053;2.85703
88,1.41653;1.53653;2.92553;2.92753;2.96454
89,1.03353;1.95903;1.97553
90,1.08103;1.85504;2.369
91,1.54654;1.572;2.36454;2.46804
92,1.39;1.77003;2.031
93,1.06803;2.68703;2.68753;2.94353;2.94403
94,1.65453;1.66353;3.27403;3.27553;3.41953
95,1.07653;2.48804;2.48903;2.51803
96,1.11354;1.98903;2.49504
97,1.324;1.534;2.85553;2.85554
98,1.09703;2.62603;3.32453;3.32453;3.36003;3.36004
99,1.327;1.5295;2.8875;2.8895;2.93096
100,1.0825;2.536;2.82396;2.8355;3.312
