round,total_ul_rbg
1,39171
2,31651
3,33495
4,30804
5,24506
6,23552
7,22786
8,22714
9,23474
10,22415
11,22202
12,22721
13,16929
14,23220
15,23347
16,23614
17,23231
18,18219
19,23667
20,23394
21,24347
22,26726
23,23164
24,23588
25,23225
26,22587
27,22964
28,23725
29,22660
30,16368
31,22204
32,22307
33,15417
34,23797
35,22621
36,23098
37,22839
38,15852
39,22126
40,23721
41,23341
42,24001
43,22787
44,23523
45,23905
46,23040
47,22802
48,19676
49,22681
50,22237
51,23514
52,23211
53,22603
54,23723
55,20316
56,18858
57,21837
58,23273
59,21977
60,23287
61,17175
62,23453
63,23272
64,23359
65,22658
66,22921
67,22902
68,22736
69,23779
70,24057
71,16001
72,23336
73,21630
74,23403
75,22087
76,22119
77,22792
78,22543
79,23344
80,23307
81,22302
82,21613
83,23284
84,23771
85,22721
86,15741
87,23438
88,23165
89,21485
90,23170
91,23105
92,22662
93,22000
94,23241
95,22603
96,23070
97,22675
98,14741
99,22634
100,22064
