round,total_tbSize
1,5152873
2,3543621
3,5967286
4,4747905
5,4732707
6,4197339
7,3416704
8,3625439
9,3712681
10,3217313
11,4307140
12,3886023
13,5014393
14,4503322
15,4765016
16,4194388
17,3704616
18,5463759
19,4246873
20,6400837
21,5564163
22,6307565
23,5721825
24,5030135
25,4946452
26,3253632
27,4258094
28,4670810
29,3811534
30,5004120
31,4170038
32,3286878
33,4937382
34,3352951
35,4143876
36,4720038
37,4125768
38,4967169
39,4024532
40,3840416
41,4053500
42,4732822
43,3176416
44,4904834
45,4322259
46,3323228
47,2814508
48,5616096
49,3398723
50,4005383
51,3231057
52,3613517
53,3568321
54,5059413
55,5580948
56,5930171
57,4016174
58,4194907
59,2472991
60,4179287
61,5053773
62,2504067
63,2862406
64,4268578
65,3746004
66,3372869
67,4157016
68,4326293
69,4142091
70,4403246
71,4883914
72,2599614
73,2399785
74,3252638
75,4004100
76,2481795
77,3276113
78,4087053
79,4567915
80,3636945
81,3251877
82,3271573
83,3722081
84,4624992
85,4182129
86,4926054
87,3454528
88,4131951
89,2423966
90,2809248
91,3354291
92,2793917
93,4016957
94,5090289
95,3433972
96,2885426
97,3439437
98,4914223
99,4183776
100,4513466
