round,total_numsym
1,87604
2,47275
3,82040
4,56055
5,79719
6,63525
7,45207
8,55191
9,40927
10,41591
11,60009
12,39874
13,81794
14,56822
15,48508
16,66106
17,48909
18,73978
19,38612
20,80277
21,60327
22,66748
23,78535
24,50179
25,68097
26,39138
27,59505
28,69897
29,37064
30,114855
31,79301
32,36384
33,78500
34,33952
35,55954
36,62053
37,44019
38,81634
39,64779
40,39354
41,48679
42,82786
43,31655
44,59358
45,48439
46,41200
47,21975
48,65317
49,40399
50,64832
51,35413
52,33759
53,41692
54,55723
55,76914
56,79848
57,64454
58,74455
59,26358
60,58528
61,80972
62,19715
63,27059
64,65405
65,48495
66,35732
67,83288
68,57917
69,48301
70,39661
71,89947
72,30705
73,26099
74,39999
75,64574
76,21552
77,46872
78,61250
79,51375
80,48382
81,46933
82,47777
83,42140
84,52738
85,61469
86,79658
87,49511
88,59257
89,26576
90,21506
91,37394
92,23674
93,64657
94,71589
95,47981
96,22792
97,43117
98,96033
99,56720
100,55749
