round,success_count
1,6
2,3
3,5
4,5
5,5
6,5
7,4
8,4
9,4
10,4
11,5
12,4
13,6
14,5
15,5
16,5
17,4
18,6
19,4
20,6
21,4
22,5
23,5
24,5
25,5
26,4
27,5
28,5
29,4
30,6
31,5
32,4
33,6
34,4
35,5
36,5
37,4
38,6
39,5
40,4
41,3
42,5
43,3
44,5
45,5
46,4
47,3
48,6
49,4
50,5
51,3
52,3
53,4
54,5
55,6
56,6
57,5
58,5
59,3
60,5
61,6
62,3
63,3
64,5
65,4
66,4
67,4
68,5
69,4
70,4
71,6
72,3
73,3
74,3
75,5
76,3
77,4
78,5
79,5
80,4
81,4
82,4
83,4
84,4
85,5
86,6
87,4
88,5
89,3
90,3
91,4
92,3
93,5
94,5
95,4
96,3
97,4
98,6
99,5
100,5
