round,total_ul_rbg
1,58016
2,36928
3,65779
4,53143
5,50938
6,46905
7,38154
8,39798
9,41508
10,36100
11,48412
12,41522
13,56168
14,49542
15,50875
16,46975
17,38631
18,60597
19,45964
20,67083
21,60183
22,63898
23,63654
24,54899
25,53921
26,36318
27,47316
28,51876
29,41985
30,56219
31,46552
32,36813
33,55231
34,37136
35,46497
36,50878
37,44902
38,55663
39,45039
40,42055
41,43130
42,52348
43,35070
44,52102
45,47782
46,37087
47,30808
48,61516
49,37772
50,44931
51,35249
52,38392
53,39523
54,55452
55,61898
56,65479
57,44912
58,46653
59,27534
60,46772
61,56235
62,27926
63,31096
64,47732
65,40902
66,37680
67,47170
68,47826
69,45201
70,46855
71,54786
72,28894
73,26925
74,35040
75,44855
76,27814
77,36685
78,45822
79,50556
80,39939
81,36487
82,36698
83,39983
84,51300
85,46641
86,54997
87,39096
88,46260
89,27198
90,31295
91,37508
92,31056
93,44948
94,56373
95,37457
96,31915
97,38208
98,55168
99,46643
100,50084
