round,ndi0_count,ndi1_count
1,397,3832
2,415,5414
3,684,4757
4,229,6627
5,233,5076
6,492,10120
7,468,11922
8,171,4008
9,313,6185
10,543,3921
11,46,7588
12,242,6444
13,441,4747
14,511,4958
15,215,8472
16,445,5576
17,120,8379
18,395,5945
19,373,6726
20,611,4307
21,288,4929
22,406,5542
23,330,6415
24,342,4610
25,593,6589
26,158,10020
27,31,4345
28,635,8372
29,296,3327
30,341,7590
31,104,6449
32,250,7013
33,87,1848
34,214,7021
35,42,2207
36,168,4165
37,136,3342
38,296,8048
39,312,5925
40,209,6567
41,280,5871
42,140,3959
43,251,2500
44,640,8223
45,197,3311
46,29,3490
47,118,1083
48,0,8783
49,224,3550
50,126,5104
51,146,3849
52,346,6223
53,385,4508
54,213,8055
55,99,4828
56,388,7391
57,255,3878
58,341,4925
59,95,3037
60,225,6077
61,92,5598
62,184,3280
63,123,7438
64,320,3377
65,192,4667
66,102,7559
67,359,3426
68,172,1507
69,84,5587
70,0,1528
71,49,7961
72,264,3609
73,81,3607
74,231,8104
75,163,1271
76,133,7218
77,48,2592
78,0,5123
79,174,4205
80,21,7564
81,75,5304
82,205,3389
83,18,2023
84,131,2250
85,145,6954
86,1,4678
87,137,6710
88,194,3335
89,94,9009
90,1,5745
91,252,4084
92,219,11601
93,72,4815
94,186,5188
95,367,3153
96,337,5912
97,27,7808
98,356,9948
99,195,7250
100,165,4103
