round,total_numsym
1,48434
2,67255
3,61958
4,80166
5,61727
6,120888
7,141132
8,48677
9,75537
10,51664
11,89654
12,78218
13,60249
14,62778
15,99660
16,68637
17,98865
18,73004
19,80967
20,56139
21,60168
22,68637
23,78516
24,56789
25,81006
26,118987
27,51319
28,100575
29,42126
30,91596
31,76189
32,84309
33,22686
34,83838
35,26335
36,50623
37,40671
38,97675
39,71876
40,78921
41,71460
42,47979
43,31925
44,98527
45,40514
46,41340
47,13990
48,103243
49,43631
50,61050
51,45831
52,75726
53,56351
54,95867
55,57718
56,89434
57,47576
58,60876
59,36626
60,72872
61,66311
62,40257
63,88504
64,42834
65,56515
66,89356
67,44184
68,19144
69,65803
70,17957
71,93966
72,45149
73,42798
74,95534
75,16707
76,85581
77,30891
78,60222
79,51159
80,89265
81,62963
82,41993
83,23988
84,27663
85,82620
86,54950
87,79193
88,40724
89,106835
90,67594
91,50188
92,137478
93,56906
94,61964
95,40794
96,72118
97,91962
98,118704
99,85880
100,49797
