round,total_ul_rbg
1,62613
2,45489
3,47112
4,44031
5,42560
6,42778
7,34017
8,31349
9,32483
10,32684
11,25484
12,32516
13,32471
14,32936
15,32286
16,32684
17,32869
18,32621
19,33320
20,33378
21,32701
22,33228
23,32936
24,33060
25,34512
26,30644
27,31518
28,35575
29,31374
30,31824
31,31430
32,32470
33,30452
34,31937
35,31166
36,24091
37,20305
38,13325
39,11386
40,11128
41,11226
42,10872
43,10990
44,11731
45,11155
46,10894
47,11318
48,11211
49,10673
50,11112
51,10880
52,10913
53,11437
54,11971
55,10737
56,11860
57,11118
58,11450
59,10853
60,11126
61,11238
62,10815
63,8780
64,11162
65,10933
66,8090
67,11830
68,11030
69,11001
70,10778
71,8802
72,10731
73,10583
74,11187
75,10873
76,11416
77,11035
78,10707
79,11439
80,10857
81,10682
82,11245
83,10431
84,10556
85,11085
86,10701
87,11370
88,11232
89,8672
90,10623
91,11125
92,9836
93,10880
94,11200
95,11664
96,11673
97,11155
98,10398
99,11263
100,11457
