round,total_numsym
1,65172
2,47437
3,60781
4,72018
5,45450
6,111259
7,58291
8,62333
9,74491
10,45508
11,48169
12,92559
13,64069
14,30991
15,49636
16,34575
17,49765
18,43323
19,71270
20,63895
21,47940
22,50671
23,65720
24,47647
25,39765
26,46751
27,63976
28,60534
29,28845
30,28616
31,60602
32,62820
33,30834
34,61325
35,68711
36,29783
37,35955
38,43394
39,45064
40,21208
41,81183
42,62511
43,26965
44,38607
45,44860
46,60218
47,54168
48,62782
49,66920
50,49711
51,77101
52,52702
53,47149
54,98411
55,46195
56,35265
57,53121
58,48020
59,110757
60,33552
61,40536
62,49221
63,13332
64,26875
65,35920
66,12021
67,60093
68,65479
69,27833
70,29335
71,35429
72,20388
73,57624
74,64100
75,25176
76,68662
77,51753
78,58303
79,63578
80,29277
81,7406
82,22064
83,35823
84,28800
85,8641
86,71173
87,30958
88,97673
89,71748
90,56731
91,12903
92,52554
93,41139
94,59673
95,82075
96,48900
97,56638
98,11647
99,27631
100,67567
