round,total_tbSize
1,3402498
2,1597740
3,2562887
4,3839037
5,3157266
6,4671311
7,4072828
8,4538657
9,4537071
10,3127742
11,3491033
12,4699159
13,3858014
14,2873355
15,3429558
16,3457862
17,3570388
18,3483865
19,3750645
20,4737211
21,3916825
22,4183302
23,4295288
24,3908311
25,3756563
26,3883618
27,5344963
28,4804252
29,3203788
30,3087223
31,4005471
32,4892616
33,3162811
34,4411231
35,5661669
36,2414608
37,3417163
38,3585822
39,4577629
40,1732983
41,3992223
42,4932228
43,2408576
44,3085355
45,3509424
46,4736604
47,4305604
48,4911079
49,4523909
50,4445713
51,4426129
52,4238313
53,3369411
54,6341046
55,3617762
56,3134214
57,4586274
58,3246122
59,5172534
60,3324484
61,4098683
62,4103344
63,1622682
64,2021939
65,2195460
66,1603560
67,4222845
68,4388000
69,2366235
70,2451501
71,3413813
72,1931206
73,4229180
74,4929185
75,2445788
76,4453083
77,3331758
78,4509638
79,4952226
80,2242376
81,961895
82,2655962
83,2841697
84,2725723
85,1141634
86,4579608
87,2428444
88,4788243
89,4095904
90,4345372
91,1696710
92,3376641
93,3998808
94,4789058
95,4645080
96,4140802
97,4550590
98,1268746
99,2905826
100,4676306
