round,ndi0_count,ndi1_count
1,118,5518
2,586,3698
3,466,4948
4,391,5826
5,360,3526
6,197,9287
7,595,4466
8,646,4766
9,330,6083
10,463,3471
11,479,3687
12,499,7507
13,400,5133
14,279,2394
15,312,3957
16,256,2696
17,324,3948
18,506,3231
19,536,5607
20,259,5222
21,294,3798
22,583,3799
23,450,5239
24,494,3601
25,397,3022
26,171,3849
27,620,4956
28,458,4781
29,231,2243
30,206,2239
31,285,4900
32,391,5004
33,299,2338
34,255,5057
35,463,5434
36,181,2380
37,251,2822
38,313,3412
39,497,3380
40,191,1641
41,23,6888
42,371,4973
43,23,2274
44,515,2833
45,270,3588
46,491,4694
47,459,4226
48,373,5021
49,264,5509
50,326,3954
51,411,6239
52,445,4096
53,463,3611
54,305,8128
55,315,3652
56,147,2869
57,621,3940
58,27,4072
59,254,9293
60,236,2629
61,239,3223
62,348,3898
63,16,1120
64,495,1846
65,212,2879
66,6,1016
67,31,5090
68,105,5473
69,0,2367
70,59,2444
71,453,2587
72,163,1592
73,391,4575
74,526,5022
75,379,1792
76,142,5719
77,109,4332
78,277,4714
79,169,5302
80,222,2291
81,32,598
82,12,1865
83,235,2841
84,261,2202
85,53,681
86,240,5852
87,315,2343
88,516,7982
89,61,6038
90,381,4528
91,38,1061
92,112,4388
93,264,3262
94,169,4939
95,193,6844
96,179,3993
97,202,4673
98,162,839
99,231,2129
100,172,5629
