round,total_numsym
1,71983
2,68898
3,76957
4,72269
5,73706
6,127114
7,59089
8,55673
9,74110
10,37970
11,63627
12,84393
13,56355
14,58064
15,68034
16,72255
17,54638
18,45456
19,55487
20,84992
21,39977
22,31225
23,48715
24,48471
25,51542
26,38243
27,59764
28,65352
29,36480
30,63295
31,80429
32,57358
33,36597
34,39989
35,23604
36,42434
37,57823
38,50275
39,63118
40,24831
41,73611
42,50514
43,60340
44,45916
45,31949
46,49591
47,53301
48,64991
49,60281
50,79403
51,58498
52,35438
53,47342
54,80466
55,48590
56,43897
57,36643
58,75432
59,66045
60,26637
61,60781
62,75048
63,23510
64,14317
65,27776
66,50878
67,45389
68,38717
69,20790
70,55070
71,25932
72,14012
73,27135
74,46480
75,44806
76,58009
77,56745
78,39925
79,47406
80,47502
81,34880
82,57416
83,27924
84,25643
85,27431
86,62374
87,11688
88,42423
89,65470
90,20350
91,55557
92,31684
93,38763
94,38415
95,76348
96,57505
97,72221
98,34347
99,27458
100,84078
