round,start_sim,end_sim,duration_sim,start_wall,end_wall,duration_wall
1,1,6,5,18:31:14,18:39:00,466.247
2,6,11,5,18:39:00,18:46:40,460.578
3,11,16,5,18:46:40,18:54:33,472.22
4,16,21,5,18:54:33,19:02:26,473.72
5,21,26,5,19:02:26,19:09:43,436.441
6,26,31,5,19:09:43,19:17:31,468.265
7,31,36,5,19:17:31,19:24:25,414.14
8,36,41,5,19:24:25,19:32:13,468.199
9,41,46,5,19:32:13,19:39:47,453.196
10,46,51,5,19:39:47,19:46:40,413.838
11,51,56,5,19:46:40,19:54:15,454.882
12,56,61,5,19:54:15,20:01:20,424.365
13,61,66,5,20:01:20,20:08:10,409.995
14,66,71,5,20:08:10,20:15:00,410.853
15,71,76,5,20:15:00,20:22:04,423.103
16,76,81,5,20:22:04,20:29:21,437.538
17,81,86,5,20:29:21,20:36:26,424.48
18,86,91,5,20:36:26,20:42:58,392.351
19,91,96,5,20:42:58,20:49:33,394.645
20,96,101,5,20:49:33,20:56:40,427.367
21,101,106,5,20:56:40,21:02:49,368.549
22,106,111,5,21:02:49,21:08:48,358.985
23,111,116,5,21:08:48,21:15:03,375.547
24,116,121,5,21:15:03,21:21:20,376.487
25,121,126,5,21:21:20,21:27:48,388.155
26,126,131,5,21:27:48,21:34:10,382.168
27,131,136,5,21:34:10,21:40:43,393.199
28,136,141,5,21:40:43,21:47:30,406.644
29,141,146,5,21:47:30,21:53:39,369.416
30,146,151,5,21:53:39,22:00:36,417.115
31,151,156,5,22:00:36,22:08:02,446.042
32,156,161,5,22:08:02,22:14:46,403.738
33,161,166,5,22:14:46,22:21:05,378.67
34,166,171,5,22:21:05,22:27:07,362.375
35,171,176,5,22:27:07,22:32:52,344.515
36,176,181,5,22:32:52,22:39:12,380.703
37,181,186,5,22:39:12,22:45:53,400.444
38,186,191,5,22:45:53,22:52:37,403.739
39,191,196,5,22:52:37,22:59:23,406.899
40,196,201,5,22:59:23,23:05:05,341.914
41,201,206,5,23:05:05,23:11:55,409.638
42,206,211,5,23:11:55,23:18:09,374.334
43,211,216,5,23:18:09,23:25:11,421.622
44,216,221,5,23:25:11,23:32:04,413.35
45,221,226,5,23:32:04,23:38:08,363.343
46,226,231,5,23:38:08,23:44:27,379.13
47,231,236,5,23:44:27,23:51:16,408.942
48,236,241,5,23:51:16,23:57:54,398.467
49,241,246,5,23:57:54,00:04:36,402.112
50,246,251,5,00:04:36,00:11:44,428.074
51,251,256,5,00:11:44,00:18:18,393.89
52,256,261,5,00:18:18,00:24:20,361.382
53,261,266,5,00:24:20,00:31:04,404.382
54,266,269.39,3.38957,00:31:04,00:36:22,317.478
55,269.39,274.39,5,00:36:22,00:43:03,401.329
56,274.39,279.39,5,00:43:03,00:49:31,388.298
57,279.39,284.39,5,00:49:31,00:55:34,363.2
58,284.39,289.39,5,00:55:34,01:02:39,424.312
59,289.39,292.891,3.5015,01:02:39,01:07:53,313.87
60,292.891,297.891,5,01:07:53,01:13:39,346.133
61,297.891,302.891,5,01:13:39,01:20:20,401.411
62,302.891,307.891,5,01:20:20,01:27:30,429.8
63,307.891,312.891,5,01:27:30,01:33:19,348.755
64,312.891,317.891,5,01:33:19,01:38:49,330.315
65,317.891,322.891,5,01:38:49,01:44:39,350.366
66,322.891,327.891,5,01:44:39,01:51:20,400.578
67,327.891,332.891,5,01:51:20,01:57:41,381.511
68,332.891,337.891,5,01:57:41,02:03:41,359.339
69,337.891,342.891,5,02:03:41,02:09:21,339.937
70,342.891,347.891,5,02:09:21,02:16:00,399.199
71,347.891,352.891,5,02:16:00,02:21:50,349.772
72,352.891,357.891,5,02:21:50,02:27:19,328.922
73,357.891,362.891,5,02:27:19,02:33:04,344.918
74,362.891,367.891,5,02:33:04,02:39:33,389.979
75,367.891,372.891,5,02:39:33,02:45:47,373.578
76,372.891,377.891,5,02:45:47,02:52:14,387.205
77,377.891,382.891,5,02:52:14,02:58:40,385.926
78,382.891,387.891,5,02:58:40,03:04:43,363.087
79,387.891,392.891,5,03:04:43,03:11:04,381.116
80,392.891,397.891,5,03:11:04,03:17:14,369.785
81,397.891,402.891,5,03:17:14,03:23:27,372.686
82,402.891,407.891,5,03:23:27,03:30:13,405.714
83,407.891,412.891,5,03:30:13,03:35:59,346.347
84,412.891,417.891,5,03:35:59,03:41:49,349.923
85,417.891,422.891,5,03:41:49,03:47:34,345.115
86,422.891,427.891,5,03:47:34,03:54:35,421.1
87,427.891,432.891,5,03:54:35,04:00:05,329.721
88,432.891,437.891,5,04:00:05,04:06:06,361.248
89,437.891,442.891,5,04:06:06,04:12:51,405.051
90,442.891,447.891,5,04:12:51,04:18:31,340.234
91,447.891,452.891,5,04:18:31,04:25:00,388.51
92,452.891,457.891,5,04:25:00,04:30:59,358.777
93,457.891,462.891,5,04:30:59,04:37:02,363.864
94,462.891,467.891,5,04:37:02,04:43:05,362.69
95,467.891,471.837,3.946,04:43:05,04:48:55,350.141
96,471.837,476.837,5,04:48:55,04:55:35,400.025
97,476.837,481.837,5,04:55:35,05:02:13,397.969
98,481.837,486.837,5,05:02:13,05:08:10,356.55
99,486.837,491.837,5,05:08:10,05:13:57,346.94
100,491.837,496.699,4.862,05:13:57,05:20:43,405.938
