round,ndi0_count,ndi1_count
1,199,10424
2,125,10913
3,8,11437
4,467,4663
5,336,5027
6,239,7391
7,332,4900
8,610,5254
9,324,7196
10,232,5640
11,203,4059
12,301,8199
13,428,5166
14,388,4913
15,511,5937
16,379,3367
17,376,3585
18,357,3848
19,97,4925
20,342,5810
21,507,6696
22,295,6010
23,413,5751
24,785,5519
25,218,4517
26,454,4219
27,527,6703
28,549,6763
29,203,4999
30,576,5802
31,103,5389
32,448,6003
33,99,6216
34,105,1900
35,102,5121
36,112,3756
37,203,3315
38,462,6133
39,110,5051
40,216,3839
41,340,2797
42,190,2327
43,346,4594
44,376,4367
45,437,3834
46,385,3229
47,154,5237
48,217,2451
49,299,4203
50,103,5380
51,186,7127
52,182,2036
53,245,3051
54,209,2454
55,321,4319
56,463,4953
57,157,2714
58,328,4652
59,28,1575
60,154,3083
61,137,2192
62,397,3918
63,157,5032
64,382,3988
65,320,5316
66,141,3664
67,259,2944
68,148,5938
69,342,3751
70,100,4589
71,220,4937
72,342,3532
73,216,4956
74,216,2762
75,238,6308
76,0,2768
77,317,3615
78,271,2343
79,259,2127
80,319,3566
81,0,2914
82,144,6045
83,89,2857
84,259,3608
85,2,1902
86,34,4071
87,85,2601
88,85,1359
89,0,482
90,215,4828
91,168,4934
92,147,3821
93,115,3034
94,152,4204
95,145,4261
96,0,3550
97,216,6205
98,135,3414
99,164,2544
100,262,3414
