round,total_tbSize
1,3547586
2,5681854
3,4873937
4,3792401
5,4683519
6,4793219
7,3949889
8,4627264
9,5760741
10,4693500
11,3002004
12,5652039
13,5988881
14,3589369
15,5063676
16,3375856
17,4587559
18,3019552
19,4220139
20,4933535
21,5527681
22,5336449
23,4662494
24,4743817
25,4166175
26,4642070
27,5817199
28,6463554
29,5358026
30,6177079
31,4291342
32,5355847
33,5466320
34,1965879
35,4556948
36,3967529
37,3269937
38,5382845
39,4469976
40,4454932
41,4614177
42,3182678
43,4895485
44,3663700
45,4834255
46,2837218
47,5657105
48,2480099
49,5029571
50,4504977
51,5022669
52,2412857
53,3452725
54,3394799
55,3048376
56,5798429
57,3039216
58,4471064
59,2716018
60,2745615
61,3104495
62,4326924
63,4369038
64,3934170
65,5149062
66,4283652
67,4379293
68,5589569
69,4433623
70,4570692
71,4700847
72,3066111
73,4653462
74,3227697
75,5709282
76,3212223
77,3584250
78,3286663
79,3369172
80,3461631
81,2439537
82,5215305
83,3653883
84,3522812
85,2469464
86,4052823
87,3758254
88,2014770
89,791839
90,4167038
91,4647921
92,4096307
93,3584198
94,3874742
95,4365874
96,2400859
97,5474190
98,3540810
99,3003677
100,4145777
