round,total_numsym
1,121194
2,127622
3,134168
4,59641
5,62540
6,88574
7,60537
8,67648
9,87107
10,68595
11,49696
12,98765
13,65249
14,61636
15,74804
16,43782
17,46175
18,48979
19,58915
20,71422
21,83736
22,73538
23,71256
24,71384
25,55460
26,54063
27,83749
28,84402
29,60924
30,73848
31,63937
32,74837
33,74219
34,23479
35,61373
36,45351
37,41096
38,76558
39,60532
40,47564
41,36668
42,29488
43,57406
44,55236
45,49632
46,42015
47,63204
48,31258
49,52655
50,64254
51,85469
52,26022
53,38441
54,31218
55,54140
56,62768
57,33521
58,58032
59,18844
60,37907
61,27307
62,50511
63,60776
64,50993
65,65960
66,44564
67,37547
68,70996
69,47354
70,54986
71,59819
72,45267
73,60570
74,34906
75,76283
76,32547
77,46129
78,30638
79,27861
80,45353
81,34241
82,72283
83,34587
84,45138
85,22358
86,48231
87,31535
88,16977
89,5666
90,59028
91,59602
92,46556
93,36757
94,50806
95,51158
96,41774
97,74813
98,41642
99,31807
100,42949
