round,total_tbSize
1,2511818
2,4062815
3,2454356
4,4679465
5,2186820
6,5879251
7,4914462
8,3801695
9,4485040
10,4472516
11,5293808
12,1880999
13,4645023
14,5047263
15,4183456
16,3361284
17,3083429
18,3294405
19,5281441
20,4717465
21,4442501
22,3973686
23,4782409
24,3980075
25,3243570
26,3436593
27,1254871
28,3355787
29,4459727
30,3381178
31,5135246
32,4379902
33,6131228
34,4581740
35,3129391
36,4225025
37,3061727
38,3562612
39,2723775
40,5099183
41,2308349
42,4775025
43,4815886
44,4827131
45,4514672
46,3407034
47,6540646
48,1961584
49,5034736
50,4664290
51,6107740
52,4962952
53,4414246
54,4592371
55,6759626
56,1863695
57,4252760
58,3644078
59,3776231
60,5726923
61,4932308
62,4112001
63,3784330
64,3008333
65,4111116
66,4149748
67,4217453
68,4461251
69,3857905
70,5015136
71,3446533
72,4437838
73,4720334
74,2788701
75,4750110
76,3794271
77,2421602
78,4325703
79,3714386
80,4430154
81,3982048
82,4959180
83,3377475
84,4826877
85,5435844
86,5367294
87,4849410
88,5043816
89,5071434
90,4884182
91,5017370
92,4706384
93,5420851
94,3248430
95,2823915
96,4434957
97,3150429
98,3709604
99,3934929
100,4674134
