round,count
1,5745
2,6003
3,4572
4,7309
5,5535
6,9950
7,5410
8,5035
9,5681
10,8034
11,6331
12,2106
13,6228
14,5469
15,6010
16,4246
17,3585
18,3525
19,6905
20,5751
21,6421
22,4945
23,4975
24,4424
25,4629
26,4470
27,2133
28,4093
29,7453
30,3627
31,7152
32,5984
33,7000
34,4612
35,2525
36,4571
37,2246
38,3502
39,2265
40,7708
41,2066
42,6927
43,5520
44,5838
45,4593
46,3947
47,6029
48,1770
49,4416
50,4632
51,7779
52,7177
53,5152
54,5286
55,6382
56,2032
57,3274
58,3139
59,4700
60,5733
61,5245
62,4128
63,4051
64,3506
65,3779
66,6001
67,3558
68,6234
69,4188
70,5070
71,3879
72,5060
73,4582
74,2255
75,4111
76,3218
77,1727
78,4967
79,3547
80,4246
81,4391
82,4224
83,3663
84,4964
85,5348
86,5225
87,4345
88,5403
89,5524
90,4739
91,4908
92,4617
93,5645
94,2837
95,2145
96,4545
97,2092
98,3836
99,3486
100,4514
