round,total_tbSize
1,3746521
2,3514576
3,5863309
4,4139409
5,3269978
6,6190186
7,6287712
8,4201134
9,4492080
10,3234534
11,4860458
12,5766756
13,5613097
14,4774207
15,5531879
16,5743392
17,7028707
18,3218818
19,3833659
20,4723692
21,5074489
22,4571490
23,6014979
24,4528815
25,3887241
26,5805674
27,3733084
28,5718379
29,5464809
30,5912195
31,5288971
32,4561135
33,3587233
34,6203745
35,5633993
36,4238268
37,4042562
38,5427730
39,4441171
40,4440539
41,5450542
42,4716857
43,3213482
44,7108189
45,3474038
46,4751202
47,6008711
48,3516131
49,4949388
50,4835216
51,3635561
52,4365851
53,4798512
54,4043711
55,3409438
56,6285911
57,4612142
58,4156411
59,4938192
60,4156532
61,4333584
62,5256026
63,7215938
64,4235541
65,3144797
66,2849591
67,3452320
68,5068953
69,3623281
70,4852532
71,3791838
72,4173064
73,3912344
74,3270695
75,4907320
76,4405317
77,3684478
78,3949919
79,4645757
80,4448866
81,4061622
82,1668722
83,4947840
84,4380146
85,5658217
86,1812533
87,4496742
88,1878291
89,2709649
90,4108495
91,5125658
92,5598478
93,5362379
94,2405132
95,3276141
96,2595345
97,3243719
98,4657478
99,3533925
100,3305755
