round,success_count
1,2
2,4
3,6
4,4
5,3
6,4
7,4
8,4
9,3
10,3
11,5
12,6
13,6
14,2
15,4
16,4
17,5
18,3
19,2
20,3
21,3
22,2
23,4
24,3
25,2
26,5
27,4
28,6
29,3
30,6
31,5
32,3
33,3
34,6
35,5
36,3
37,4
38,4
39,4
40,3
41,4
42,4
43,4
44,6
45,1
46,4
47,6
48,4
49,5
50,4
51,4
52,5
53,5
54,4
55,4
56,6
57,3
58,4
59,5
60,4
61,4
62,5
63,6
64,4
65,3
66,3
67,4
68,6
69,4
70,5
71,3
72,5
73,3
74,4
75,4
76,4
77,4
78,4
79,3
80,3
81,2
82,2
83,5
84,4
85,4
86,2
87,4
88,2
89,3
90,4
91,5
92,6
93,6
94,2
95,4
96,3
97,4
98,5
99,4
100,4
