round,ids
1,3.57207;3.64203
2,3.69353;4.06206;4.23553;4.23553
3,3.45657;3.66906;4.04007;4.30757;4.80057;4.98457
4,4.2315;4.883;4.88646;4.9
5,3.543;4.18696;4.2955
6,3.8315;4.227;4.521;4.651
7,3.124;3.215;4.17;4.893
8,2.592;2.6505;2.8765;3.8945
9,2.5745;3.0565;4.2455
10,2.283;2.7125;3.152
11,3.42096;3.47797;3.5135;3.57496;3.9415
12,2.924;3.05546;3.27446;3.27447;3.91847;4.4135
13,2.873;2.873;3.11546;3.1165;3.384;3.9505
14,2.86296;4.15546
15,2.242;2.731;3.5085;3.772
16,3.34046;3.5995;3.7865;4.43046
17,2.709;3.21049;3.882;4.4895;4.5795
18,3.25196;3.3215;3.322
19,2.565;3.8095
20,2.5085;2.9635;3.096
21,3.05906;3.223;4.414
22,2.4135;2.7745
23,3.37299;3.7655;3.8495;4.7645
24,2.519;2.6715;3.6165
25,1.886;2.0965
26,2.564;2.7585;3.1485;4.43846;4.6325
27,1.453;2.08496;2.191;2.622
28,2.82296;3.1075;3.149;3.26046;3.9585;4.3925
29,2.2445;2.543;4.78896
30,2.288;2.4995;3.06746;3.18497;3.55246;3.8995
31,1.52996;2.597;3.04;3.62;4.922
32,3.04896;3.169;3.3805
33,1.97;2.0745;4.8295
34,2.75046;3.242;3.2905;3.562;4.3025;4.5175
35,1.6055;2.8585;3.38;3.51546;3.7955
36,1.099;1.5805;2.143
37,2.38;2.7495;2.75446;3.16147
38,2.429;2.937;2.9375;3.321
39,2.58447;2.7125;2.79897;4.285
40,2.403;4.0605;4.653
41,1.181;2.297;2.72;3.064
42,2.0495;2.82546;2.956;3.548
43,1.72946;1.803;2.025;2.0395
44,2.69446;2.75897;3.455;4.2635;4.6455;4.796
45,1.7365
46,2.765;3.313;3.747;4.6365
47,2.208;3.34546;3.38596;3.418;4.3485;4.4735
48,1.25;2.4025;2.627;3.4205
49,1.626;1.8515;2.55347;3.6705;4.66496
50,2.0795;2.31797;3.536;3.617
51,2.06;2.37247;2.5865;2.5875
52,1.122;1.9485;2.3465;2.3485;2.769
53,2.1385;2.54547;3.3905;3.691;4.2765
54,1.128;2.2115;2.71947;3.0665
55,1.7855;1.91097;2.168;2.23597
56,1.86351;2.5735;3.247;3.29247;4.6505;4.76597
57,2.04;3.00454;3.18604
58,1.98654;2.31754;2.45504;2.5875
59,2.14104;2.50154;2.53403;2.70804;2.85454
60,2.21504;2.3175;2.5615;3.99054
61,2.00654;2.361;2.4525;2.59254
62,2.01404;2.217;3.092;4.14254;4.61354
63,2.22504;2.70554;3.46154;3.46954;3.95804;4.6725
64,1.94604;2.04603;2.79054;4.494
65,1.42503;2.03704;2.03854
66,1.03454;1.8005;4.25404
67,1.47254;1.9135;1.9975;2.06404
68,1.12254;2.26054;2.82403;2.9055;2.90854;3.78754
69,1.4905;1.728;2.1545;2.274
70,2.01251;2.449;2.4495;2.59646;4.8305
71,1.276;1.73996;2.0315
72,1.142;2.209;2.5635;2.7305;2.839
73,2.16296;2.256;2.31546
74,1.2845;1.925;2.2665;2.267
75,2.106;3.3615;3.375;4.98196
76,1.871;2.10046;3.048;3.5875
77,2.892;2.89596;2.983;2.9965
78,1.3475;1.8035;2.2925;2.835
79,1.091;2.32596;3.1465
80,2.143;2.701;2.7195
81,1.759;1.773
82,1.371;1.44596
83,1.18147;2.65596;3.41246;3.5605;4.1315
84,2.3595;3.0015;3.42247;3.57296
85,1.102;2.50246;2.8895;4.3205
86,0.9985;1.1825
87,1.2345;2.39;2.947;3.778
88,1.775;1.775
89,1.10047;1.41146;1.759
90,1.546;2.3055;2.56846;3.67896
91,1.4415;2.177;2.7265;2.741;4.7235
92,1.732;1.969;3.263;3.2635;3.27946;4.08246
93,1.18554;2.49004;2.68704;2.85104;2.88454;3.237
94,1.54654;1.75
95,1.14954;1.58754;1.84154;1.90804
96,1.08804;2.232;2.236
97,1.20104;1.62604;1.84804;1.93404
98,1.1405;2.56353;2.955;2.96503;3.98604
99,1.95804;2.0445;2.12504;3.097
100,1.58654;2.24954;2.316;2.34304
