round,total_ul_rbg
1,33838
2,32992
3,34896
4,29684
5,22524
6,18542
7,11756
8,6839
9,8325
10,7488
11,7003
12,7444
13,6229
14,8175
15,7162
16,7829
17,8975
18,7948
19,7492
20,8026
21,4087
22,3206
23,3517
24,2924
25,3231
26,3334
27,3038
28,3120
29,3104
30,2281
31,3246
32,3314
33,3113
34,3505
35,3227
36,3274
37,3222
38,3289
39,3212
40,4061
41,3507
42,3310
43,3294
44,3251
45,3124
46,3198
47,2746
48,3011
49,3380
50,3760
51,3114
52,3339
53,3024
54,3574
55,2982
56,3108
57,3452
58,3200
59,3527
60,2792
61,2952
62,2986
63,2799
64,3279
65,3286
66,2911
67,3272
68,2344
69,3254
70,2896
71,3189
72,3406
73,3439
74,2977
75,3166
76,3067
77,3108
78,3035
79,3132
80,3222
81,3540
82,2936
83,3402
84,3280
85,3331
86,3066
87,3300
88,2989
89,3212
90,3212
91,3721
92,2550
93,2120
94,3045
95,2976
96,2959
97,3166
98,3352
99,3556
100,2963
