round,count
1,5112
2,6152
3,8556
4,8427
5,5126
6,7410
7,7116
8,5511
9,5128
10,3144
11,6749
12,8468
13,8149
14,5153
15,5221
16,7769
17,6870
18,5023
19,3708
20,5188
21,5069
22,4737
23,6374
24,4487
25,3392
26,6423
27,3152
28,7139
29,4799
30,5474
31,4945
32,5668
33,3130
34,6440
35,5941
36,2992
37,4547
38,5591
39,4735
40,4306
41,5239
42,3664
43,3791
44,6572
45,2497
46,4357
47,5844
48,2770
49,3845
50,5182
51,4201
52,3902
53,4537
54,3236
55,3574
56,6015
57,3721
58,4056
59,5593
60,3985
61,3875
62,4916
63,6142
64,3666
65,3085
66,1864
67,3103
68,6152
69,2703
70,4824
71,2743
72,4359
73,3617
74,2963
75,5130
76,3558
77,6910
78,3198
79,3657
80,4641
81,3683
82,1450
83,4063
84,3932
85,4396
86,1020
87,3839
88,2054
89,1658
90,3473
91,4984
92,6677
93,5193
94,2004
95,2430
96,2755
97,2600
98,4990
99,3426
100,3957
