round,total_numsym
1,59053
2,71816
3,98654
4,98507
5,59607
6,84235
7,82194
8,64682
9,59273
10,36803
11,77703
12,97917
13,94740
14,59935
15,60783
16,89397
17,79471
18,58684
19,42236
20,60586
21,58823
22,54780
23,73517
24,52141
25,39658
26,73939
27,36859
28,82789
29,55750
30,63997
31,57218
32,66035
33,36538
34,74763
35,69363
36,34683
37,53162
38,64975
39,55276
40,49270
41,60523
42,42571
43,44577
44,76283
45,28985
46,50514
47,67638
48,32309
49,44960
50,60341
51,49361
52,45849
53,52898
54,37106
55,42014
56,69676
57,43271
58,47551
59,65355
60,46686
61,45516
62,57292
63,71859
64,42786
65,36048
66,21901
67,36434
68,71279
69,31638
70,56281
71,32160
72,50966
73,42385
74,34826
75,59547
76,41360
77,80292
78,37528
79,42532
80,54097
81,43104
82,17053
83,47274
84,45848
85,50679
86,12000
87,44694
88,24078
89,19347
90,40691
91,57709
92,77825
93,60889
94,23507
95,28570
96,32352
97,30580
98,57678
99,39704
100,45918
