round,avg_ul_mcs
1,27.6064
2,27.7945
3,27.888
4,27.8413
5,27.4534
6,27.5945
7,27.6185
8,27.7483
9,27.1291
10,26.951
11,27.5991
12,27.8628
13,27.7791
14,27.3122
15,27.6062
16,27.5948
17,27.5866
18,27.5877
19,27.7184
20,27.4927
21,27.553
22,27.651
23,27.6057
24,27.4865
25,27.3323
26,27.7841
27,27.3985
28,27.5449
29,27.497
30,27.8171
31,27.6508
32,27.6787
33,26.6511
34,27.746
35,27.6918
36,27.0642
37,27.7139
38,27.585
39,27.69
40,27.5546
41,27.4894
42,27.6422
43,27.7415
44,27.6465
45,26.4882
46,27.5768
47,27.423
48,27.5921
49,27.3342
50,27.5521
51,27.6651
52,27.6453
53,27.4909
54,27.6397
55,27.545
56,27.6579
57,27.0881
58,27.6164
59,27.7502
60,27.6271
61,27.6681
62,26.938
63,27.7833
64,27.7141
65,27.3987
66,27.463
67,27.6929
68,27.7412
69,27.5753
70,27.739
71,27.4411
72,27.7109
73,27.4548
74,27.5964
75,27.3238
76,27.7223
77,27.7528
78,27.6276
79,27.4791
80,27.3822
81,27.6478
82,27.6138
83,27.4762
84,27.7159
85,27.6272
86,27.1765
87,27.7588
88,26.9007
89,27.5754
90,27.5692
91,27.5881
92,27.7428
93,27.7495
94,26.8224
95,27.6988
96,27.2704
97,27.6231
98,27.6481
99,27.5067
100,27.6611
