round,count
1,5763
2,8109
3,7881
4,7005
5,5568
6,5222
7,6515
8,5078
9,6863
10,8377
11,8096
12,5476
13,7700
14,7258
15,4643
16,5999
17,6284
18,5764
19,6850
20,3199
21,6287
22,5055
23,7566
24,5315
25,7053
26,5309
27,8487
28,5016
29,4204
30,4462
31,5919
32,4277
33,5163
34,5404
35,6106
36,6888
37,4683
38,5544
39,4687
40,4196
41,5021
42,2276
43,7228
44,5284
45,5317
46,5035
47,5008
48,5638
49,6631
50,6634
51,3264
52,6564
53,6334
54,5389
55,7206
56,3943
57,5857
58,6368
59,3393
60,5877
61,5105
62,3316
63,7662
64,4928
65,5315
66,4825
67,4816
68,5600
69,6885
70,3442
71,5215
72,5738
73,6619
74,3384
75,6251
76,3196
77,6196
78,4690
79,3780
80,6242
81,3963
82,6515
83,5215
84,2909
85,5098
86,7587
87,6384
88,1776
89,2239
90,4042
91,4710
92,5420
93,4011
94,5265
95,5581
96,2408
97,3163
98,4037
99,4544
100,7144
