round,avg_ul_mcs
1,27.7215
2,27.8984
3,27.8963
4,27.8601
5,27.8145
6,27.5787
7,27.8117
8,27.7105
9,27.8466
10,27.8169
11,27.855
12,27.8647
13,27.7174
14,27.8754
15,27.5445
16,27.7861
17,27.6986
18,27.5756
19,27.8774
20,27.2829
21,27.8441
22,27.9169
23,27.8635
24,27.6184
25,27.8611
26,27.7216
27,27.8184
28,27.8913
29,27.7519
30,27.7394
31,27.6834
32,27.6907
33,27.6917
34,27.5981
35,27.2648
36,27.8553
37,27.681
38,27.6728
39,27.5993
40,27.7061
41,27.7457
42,27.6648
43,27.6039
44,27.7786
45,27.5591
46,27.6183
47,27.7672
48,27.8076
49,27.4244
50,27.8523
51,27.8447
52,27.8044
53,27.7801
54,27.7922
55,27.8446
56,27.103
57,27.7292
58,27.8186
59,27.6947
60,27.7541
61,27.7702
62,27.5507
63,27.8319
64,27.6573
65,27.8414
66,27.7956
67,27.8256
68,27.8245
69,27.8353
70,27.8373
71,27.7584
72,27.2923
73,27.882
74,27.7438
75,27.7684
76,27.7791
77,27.796
78,27.6846
79,27.7037
80,27.7957
81,27.5814
82,27.7483
83,27.8593
84,27.758
85,27.7193
86,27.833
87,27.8108
88,27.7523
89,27.6159
90,27.7575
91,27.7306
92,27.7919
93,27.8255
94,27.0437
95,27.7739
96,27.6478
97,27.6899
98,27.7226
99,27.8151
100,27.8432
