round,total_ul_rbg
1,44049
2,65545
3,57056
4,57643
5,48307
6,43001
7,58889
8,48725
9,60241
10,61011
11,60580
12,49298
13,59687
14,61179
15,40119
16,61671
17,65056
18,61539
19,56651
20,37646
21,60042
22,46448
23,56597
24,54093
25,57105
26,50438
27,58558
28,46127
29,38862
30,42736
31,60587
32,44097
33,57285
34,53380
35,64770
36,57050
37,49000
38,51642
39,48164
40,46575
41,52699
42,27247
43,62297
44,50908
45,51763
46,48895
47,49823
48,52550
49,61230
50,55237
51,38776
52,55001
53,55099
54,46000
55,45094
56,47914
57,51707
58,61203
59,40478
60,51986
61,47259
62,36092
63,55094
64,49323
65,46404
66,50902
67,47450
68,45683
69,55997
70,36669
71,45328
72,50325
73,56667
74,41296
75,63865
76,37130
77,61494
78,49550
79,36975
80,45622
81,56242
82,50358
83,46476
84,37882
85,49482
86,58860
87,55940
88,29272
89,28238
90,36572
91,49419
92,46462
93,36508
94,58451
95,46005
96,27565
97,37675
98,36281
99,38054
100,56872
