round,total_numsym
1,66681
2,94717
3,92504
4,82239
5,65443
6,60320
7,76327
8,59370
9,80018
10,95617
11,95048
12,64071
13,89209
14,84360
15,53950
16,70159
17,73349
18,67410
19,80444
20,37460
21,73812
22,59398
23,89011
24,61887
25,82913
26,62096
27,99656
28,58963
29,49195
30,52201
31,64987
32,50015
33,60424
34,62306
35,71163
36,80584
37,54850
38,64444
39,54205
40,49275
41,57733
42,26782
43,84152
44,61187
45,62319
46,58541
47,58819
48,65319
49,77192
50,78005
51,38299
52,77149
53,73315
54,63350
55,84667
56,45978
57,68081
58,72805
59,39449
60,68170
61,59449
62,38737
63,90038
64,57864
65,62481
66,56305
67,56350
68,65836
69,80944
70,40497
71,61268
72,66893
73,77765
74,39329
75,72606
76,37549
77,72403
78,54813
79,44367
80,73304
81,46156
82,76237
83,61334
84,34231
85,59884
86,88773
87,74164
88,20810
89,26323
90,47540
91,55339
92,63648
93,47162
94,61390
95,64691
96,28300
97,37211
98,47444
99,53123
100,84022
