round,ndi0_count,ndi1_count
1,232,5531
2,172,7937
3,8,7873
4,15,6990
5,15,5553
6,264,4958
7,70,6445
8,97,4981
9,246,6617
10,305,8072
11,55,8041
12,66,5410
13,384,7316
14,250,7008
15,156,4487
16,127,5872
17,253,6031
18,146,5618
19,1,6849
20,227,2972
21,27,6260
22,14,5041
23,33,7533
24,289,5026
25,0,7053
26,203,5106
27,121,8366
28,0,5016
29,156,4048
30,125,4337
31,405,5514
32,168,4109
33,89,5074
34,328,5076
35,281,5825
36,98,6790
37,151,4532
38,233,5311
39,379,4308
40,143,4053
41,251,4770
42,26,2250
43,215,7013
44,175,5109
45,282,5035
46,174,4861
47,54,4954
48,173,5465
49,259,6372
50,3,6631
51,64,3200
52,0,6564
53,266,6068
54,1,5388
55,2,7204
56,309,3634
57,166,5691
58,256,6112
59,109,3284
60,186,5691
61,76,5029
62,204,3112
63,8,7654
64,131,4797
65,11,5304
66,93,4732
67,37,4779
68,22,5578
69,3,6882
70,0,3442
71,0,5215
72,387,5351
73,16,6603
74,146,3238
75,169,6082
76,2,3194
77,86,6110
78,81,4609
79,1,3779
80,8,6234
81,178,3785
82,126,6389
83,12,5203
84,3,2906
85,75,5023
86,140,7447
87,89,6295
88,34,1742
89,0,2239
90,0,4042
91,20,4690
92,22,5398
93,0,4011
94,283,4982
95,97,5484
96,7,2401
97,3,3160
98,0,4037
99,66,4478
100,0,7144
