round,count
1,6489
2,6445
3,6363
4,8492
5,6901
6,6988
7,2469
8,5658
9,5144
10,5913
11,8068
12,5921
13,7521
14,4378
15,3806
16,3276
17,6198
18,7731
19,6078
20,7584
21,5141
22,5277
23,4160
24,3520
25,5562
26,3241
27,6057
28,4948
29,3373
30,7843
31,5726
32,7903
33,7708
34,5444
35,6747
36,7662
37,6145
38,3369
39,4450
40,3939
41,5140
42,5227
43,6689
44,5728
45,9754
46,7609
47,4853
48,4009
49,6077
50,4835
51,4646
52,7280
53,6401
54,7415
55,6760
56,6525
57,5308
58,6575
59,4000
60,2689
61,7517
62,5985
63,6821
64,3738
65,3470
66,6487
67,5506
68,5596
69,5991
70,5105
71,6020
72,5039
73,7151
74,6779
75,3860
76,4842
77,7591
78,5366
79,3272
80,5826
81,6595
82,7041
83,4998
84,4577
85,4925
86,3127
87,7280
88,3347
89,5512
90,6677
91,7757
92,5284
93,7990
94,3095
95,5633
96,5703
97,5355
98,3776
99,5275
100,5622
