round,total_tbSize
1,5117853
2,5069678
3,5029565
4,5166824
5,4927666
6,4946550
7,5122898
8,4325923
9,5993785
10,5505160
11,4695393
12,5001331
13,5120956
14,5057044
15,6113993
16,3246232
17,5468164
18,5176422
19,4702141
20,5167169
21,5574037
22,4033085
23,4656717
24,5258273
25,5183551
26,4270413
27,4369371
28,5103088
29,4921397
30,5216605
31,5151331
32,3967381
33,5526683
34,5743151
35,4030059
36,5131538
37,5354262
38,4884033
39,4558715
40,3753810
41,3861916
42,2784949
43,5513743
44,4306591
45,4359150
46,5152801
47,5104435
48,4383678
49,4669188
50,1662500
51,4314303
52,3528889
53,4524681
54,5222811
55,5600294
56,4939494
57,5268797
58,5824164
59,4199561
60,4491099
61,5348577
62,3455987
63,5562643
64,4897123
65,4740268
66,4732439
67,4196574
68,2521694
69,5063960
70,2486122
71,3384373
72,3505439
73,4999826
74,3301156
75,4340371
76,4051890
77,4363774
78,4116102
79,3957788
80,3261240
81,5237482
82,3883632
83,4857311
84,3439577
85,3238403
86,4896730
87,4709471
88,3280197
89,5078885
90,4971597
91,3010814
92,3709296
93,1609174
94,4711362
95,4038092
96,2452266
97,5086348
98,3189259
99,4497814
100,4137390
