round,avg_ul_mcs
1,27.906
2,27.8556
3,27.8771
4,27.8544
5,27.8539
6,27.8749
7,27.8642
8,27.5996
9,27.8467
10,27.6092
11,27.8028
12,27.8006
13,27.7521
14,27.8645
15,27.7402
16,27.3199
17,27.8665
18,27.8212
19,27.7465
20,27.8183
21,27.7698
22,27.8552
23,27.7595
24,27.8414
25,27.6929
26,27.8244
27,27.3313
28,27.6543
29,27.7441
30,27.563
31,27.8013
32,27.5608
33,27.5835
34,27.7625
35,27.7752
36,27.6017
37,27.4722
38,27.6838
39,27.8459
40,27.434
41,27.6446
42,27.6765
43,27.6399
44,27.87
45,27.4371
46,27.8028
47,27.8553
48,27.8046
49,27.8222
50,27.5565
51,27.762
52,27.7889
53,27.7125
54,27.8671
55,27.8423
56,27.7128
57,27.819
58,27.7584
59,27.7614
60,27.7785
61,27.8576
62,27.6626
63,26.9398
64,27.8516
65,27.8145
66,27.8184
67,27.7913
68,27.7282
69,27.8296
70,27.8338
71,27.7196
72,27.6869
73,27.4613
74,27.8085
75,27.5305
76,27.8138
77,27.7229
78,27.7519
79,27.593
80,27.7375
81,27.7773
82,27.7731
83,27.7625
84,27.6304
85,27.7075
86,27.666
87,27.8258
88,27.7228
89,27.8092
90,27.869
91,27.623
92,27.7806
93,27.0856
94,27.392
95,27.7742
96,27.412
97,27.6367
98,27.3831
99,27.7669
100,27.7687
