round,total_numsym
1,101192
2,93631
3,90859
4,79903
5,96497
6,89921
7,90620
8,63710
9,75551
10,71132
11,77625
12,78797
13,67995
14,88569
15,77900
16,32540
17,81283
18,89638
19,50463
20,85910
21,69747
22,65945
23,50225
24,93031
25,73272
26,56334
27,49868
28,65627
29,92547
30,60639
31,83953
32,50673
33,71157
34,83842
35,66423
36,52649
37,50763
38,62554
39,54407
40,38558
41,40224
42,30982
43,80432
44,62596
45,50659
46,59330
47,86442
48,72697
49,67771
50,11125
51,58292
52,47552
53,73729
54,83211
55,81042
56,58997
57,86943
58,74498
59,54000
60,66741
61,94663
62,29085
63,50801
64,90921
65,55925
66,59794
67,59418
68,36337
69,79292
70,19812
71,35194
72,47739
73,68615
74,34383
75,55713
76,71370
77,58839
78,59858
79,44454
80,45771
81,74171
82,40815
83,50816
84,35619
85,44990
86,48414
87,62669
88,47521
89,85289
90,75353
91,31824
92,37944
93,10867
94,55013
95,65540
96,24588
97,60306
98,28134
99,49439
100,57552
