round,total_ul_rbg
1,45129
2,34587
3,24729
4,26437
5,19141
6,19717
7,25925
8,28360
9,24605
10,28183
11,28026
12,20679
13,28355
14,20068
15,29128
16,28397
17,22133
18,22649
19,28438
20,21599
21,22408
22,26884
23,28637
24,21331
25,29226
26,27702
27,28752
28,30244
29,19318
30,29887
31,27444
32,28278
33,30209
34,29050
35,27296
36,29070
37,29793
38,28335
39,27674
40,27823
41,28336
42,27841
43,29412
44,27495
45,28158
46,29019
47,21653
48,27893
49,28240
50,26852
51,27165
52,26918
53,27484
54,28408
55,22806
56,28412
57,19449
58,26238
59,27326
60,27382
61,25836
62,28844
63,29925
64,19748
65,27902
66,27616
67,26401
68,26852
69,20571
70,27354
71,27210
72,27233
73,28796
74,18141
75,18664
76,17573
77,17580
78,18326
79,17801
80,17676
81,13531
82,18451
83,18498
84,17629
85,17272
86,17888
87,18287
88,17642
89,12989
90,13437
91,18126
92,18058
93,17062
94,18476
95,17230
96,17646
97,18451
98,17539
99,17711
100,17788
