round,success_count
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,4
9,6
10,4
11,5
12,6
13,5
14,6
15,5
16,2
17,6
18,6
19,5
20,6
21,6
22,5
23,5
24,6
25,5
26,5
27,4
28,5
29,6
30,5
31,6
32,4
33,4
34,5
35,5
36,5
37,4
38,5
39,5
40,4
41,4
42,3
43,5
44,5
45,4
46,5
47,6
48,5
49,5
50,2
51,4
52,4
53,5
54,5
55,6
56,5
57,6
58,6
59,4
60,5
61,6
62,3
63,4
64,6
65,5
66,5
67,5
68,3
69,6
70,3
71,4
72,4
73,4
74,4
75,5
76,5
77,5
78,5
79,4
80,4
81,6
82,4
83,5
84,4
85,4
86,4
87,5
88,4
89,6
90,6
91,3
92,4
93,2
94,5
95,5
96,3
97,5
98,3
99,5
100,5
