round,total_ul_rbg
1,57686
2,57061
3,56301
4,57628
5,55220
6,55397
7,56970
8,47577
9,63805
10,60286
11,51761
12,56015
13,55865
14,56009
15,65767
16,34350
17,60914
18,57933
19,51585
20,56537
21,61031
22,45109
23,51396
24,60527
25,56352
26,47758
27,47772
28,52803
29,55596
30,55290
31,57320
32,42856
33,58039
34,62912
35,45227
36,56179
37,55951
38,53384
39,49778
40,41334
41,41141
42,29649
43,58432
44,48336
45,47509
46,55429
47,56723
48,47574
49,51851
50,18608
51,46638
52,39106
53,50151
54,57124
55,60859
56,53134
57,58298
58,64008
59,45918
60,50106
61,59202
62,36726
63,60421
64,54891
65,50558
66,50851
67,46098
68,28221
69,56666
70,27703
71,37899
72,39243
73,51542
74,36878
75,48878
76,45377
77,48740
78,45556
79,42968
80,36589
81,58455
82,41449
83,53973
84,37985
85,36338
86,52615
87,51871
88,36747
89,57332
90,55584
91,33030
92,39847
93,18052
94,51316
95,45318
96,27511
97,54967
98,34885
99,50081
100,46172
