round,total_numsym
1,54539
2,104586
3,122526
4,52989
5,77285
6,56392
7,67221
8,100734
9,49160
10,61147
11,64144
12,70578
13,75228
14,79855
15,47261
16,74268
17,44693
18,67812
19,95066
20,89421
21,77525
22,73553
23,34316
24,64450
25,34558
26,34762
27,47834
28,28767
29,36888
30,41322
31,56129
32,33140
33,78029
34,27456
35,81064
36,30494
37,37689
38,82685
39,43097
40,72476
41,48254
42,45547
43,63625
44,44036
45,29741
46,44528
47,67247
48,81815
49,12411
50,46900
51,27492
52,55504
53,54119
54,29304
55,49610
56,49358
57,25219
58,84070
59,57081
60,67768
61,24819
62,40416
63,76637
64,82023
65,72142
66,64240
67,17616
68,77211
69,45954
70,93284
71,22831
72,45922
73,33147
74,27884
75,59068
76,76036
77,39538
78,47604
79,90532
80,32156
81,19929
82,88401
83,52636
84,50290
85,72539
86,20259
87,32579
88,52399
89,52544
90,37383
91,78830
92,39400
93,29947
94,46450
95,60635
96,82183
97,14233
98,54487
99,57602
100,46382
