round,ndi0_count,ndi1_count
1,295,7056
2,137,6754
3,425,4186
4,534,7519
5,505,4161
6,548,4613
7,442,4990
8,414,7616
9,148,7014
10,715,7267
11,378,8070
12,424,4115
13,396,5438
14,564,7066
15,417,3494
16,510,7677
17,516,5932
18,384,6879
19,287,3273
20,333,4151
21,548,6478
22,473,10923
23,312,7192
24,437,6864
25,546,7412
26,464,3897
27,371,3492
28,787,6013
29,322,5422
30,146,8748
31,591,6569
32,455,6077
33,321,6101
34,637,4228
35,408,7741
36,400,5259
37,659,7214
38,759,7207
39,424,4870
40,201,2111
41,406,4052
42,255,5135
43,282,4576
44,1076,7225
45,363,4237
46,366,3383
47,457,5372
48,584,7014
49,212,2368
50,191,6750
51,346,6178
52,63,5766
53,75,3507
54,431,5849
55,447,7678
56,83,2396
57,206,7050
58,367,5923
59,265,4191
60,291,2964
61,761,7989
62,368,4508
63,332,4326
64,1,7349
65,225,6645
66,317,5139
67,298,4475
68,435,4349
69,165,8934
70,207,2844
71,521,7007
72,599,4675
73,454,4892
74,201,4253
75,213,4916
76,40,2436
77,74,7675
78,419,5169
79,219,2904
80,302,4083
81,384,4566
82,191,7179
83,338,3998
84,430,5382
85,178,2797
86,597,5514
87,319,4633
88,339,4571
89,160,3937
90,46,2527
91,390,4097
92,205,3941
93,367,4248
94,99,2043
95,466,5602
96,298,4458
97,596,5198
98,498,5274
99,501,5991
100,495,6027
