round,count
1,7351
2,6891
3,4611
4,8053
5,4666
6,5161
7,5432
8,8030
9,7162
10,7982
11,8448
12,4539
13,5834
14,7630
15,3911
16,8187
17,6448
18,7263
19,3560
20,4484
21,7026
22,11396
23,7504
24,7301
25,7958
26,4361
27,3863
28,6800
29,5744
30,8894
31,7160
32,6532
33,6422
34,4865
35,8149
36,5659
37,7873
38,7966
39,5294
40,2312
41,4458
42,5390
43,4858
44,8301
45,4600
46,3749
47,5829
48,7598
49,2580
50,6941
51,6524
52,5829
53,3582
54,6280
55,8125
56,2479
57,7256
58,6290
59,4456
60,3255
61,8750
62,4876
63,4658
64,7350
65,6870
66,5456
67,4773
68,4784
69,9099
70,3051
71,7528
72,5274
73,5346
74,4454
75,5129
76,2476
77,7749
78,5588
79,3123
80,4385
81,4950
82,7370
83,4336
84,5812
85,2975
86,6111
87,4952
88,4910
89,4097
90,2573
91,4487
92,4146
93,4615
94,2142
95,6068
96,4756
97,5794
98,5772
99,6492
100,6522
