round,total_numsym
1,83325
2,78720
3,52846
4,92249
5,53599
6,58845
7,62707
8,92046
9,84010
10,90424
11,96420
12,52286
13,67368
14,86863
15,45295
16,93494
17,74074
18,82934
19,41362
20,51454
21,80236
22,131263
23,87433
24,82979
25,90883
26,49131
27,44923
28,75093
29,66865
30,103498
31,82525
32,74025
33,74357
34,55460
35,94034
36,65092
37,90538
38,89393
39,61381
40,26899
41,51876
42,62184
43,56394
44,90182
45,52986
46,43728
47,67041
48,86980
49,30011
50,80253
51,76261
52,68331
53,41799
54,72609
55,93156
56,28797
57,83737
58,72826
59,51757
60,37806
61,98586
62,56566
63,54102
64,86384
65,80313
66,63337
67,55785
68,55388
69,106313
70,35664
71,86108
72,60355
73,61033
74,51927
75,59865
76,28956
77,90830
78,64492
79,36356
80,51057
81,57397
82,85441
83,49559
84,66890
85,34339
86,70050
87,57392
88,56320
89,47941
90,30190
91,51875
92,47785
93,52946
94,25000
95,69998
96,54738
97,65295
98,65597
99,73365
100,75224
