round,total_tbSize
1,3315206
2,3910598
3,2288632
4,5056953
5,3026083
6,3039517
7,3640826
8,4760002
9,4558185
10,5336330
11,4155085
12,3308608
13,4633618
14,4651956
15,4141700
16,4889961
17,4988946
18,4062167
19,3097900
20,3489738
21,4970051
22,5857179
23,4316459
24,4845042
25,4465377
26,2737125
27,2994553
28,4672434
29,4424598
30,4350162
31,5327473
32,4760783
33,4123385
34,2923538
35,5097401
36,4670002
37,5010658
38,5082362
39,4100515
40,2602631
41,3573182
42,4018196
43,4282492
44,4873027
45,4283189
46,3630516
47,5337251
48,5356107
49,3117978
50,4684643
51,4976822
52,3373619
53,2519735
54,5376475
55,5334097
56,2834633
57,4729106
58,4593867
59,3971566
60,3048456
61,5657512
62,4559635
63,4102801
64,4104938
65,5804063
66,3696977
67,4984070
68,3654409
69,5005255
70,2830276
71,5881113
72,4363351
73,3836219
74,4583568
75,4322317
76,2491935
77,4411142
78,4869801
79,3569157
80,4222696
81,4454645
82,4646069
83,3828851
84,4758736
85,2674821
86,4937645
87,4240652
88,4457698
89,3903049
90,2644685
91,3926596
92,3190350
93,4317254
94,1998356
95,4108928
96,3736945
97,5497014
98,3800246
99,4572034
100,4621797
