round,total_ul_rbg
1,66704
2,63663
3,48075
4,40485
5,38770
6,39396
7,38913
8,28279
9,27404
10,29311
11,28491
12,26364
13,27100
14,27681
15,27060
16,28419
17,27697
18,29268
19,26762
20,26053
21,28010
22,30266
23,27519
24,27647
25,28537
26,27809
27,26384
28,28948
29,27133
30,28487
31,28843
32,28007
33,27347
34,28433
35,29154
36,28484
37,28867
38,28310
39,27507
40,25466
41,27264
42,20703
43,16526
44,19351
45,16807
46,15628
47,16840
48,18479
49,16271
50,16679
51,16445
52,16483
53,16012
54,16102
55,17546
56,15567
57,16284
58,16441
59,16896
60,16073
61,17984
62,17065
63,16569
64,16478
65,16631
66,16147
67,16894
68,16658
69,17426
70,16215
71,17254
72,17004
73,16574
74,16043
75,16102
76,16158
77,16814
78,16105
79,15921
80,16560
81,16464
82,16176
83,16609
84,16040
85,16399
86,18049
87,16560
88,17104
89,17018
90,16601
91,16947
92,16889
93,16883
94,15771
95,17538
96,16904
97,17400
98,16864
99,17318
100,17539
