round,total_ul_rbg
1,38216
2,44962
3,23972
4,54450
5,30338
6,32416
7,38315
8,52016
9,50436
10,55984
11,46505
12,35262
13,48693
14,49376
15,42408
16,54659
17,51789
18,43755
19,32361
20,36730
21,53266
22,62573
23,45799
24,53398
25,46893
26,29190
27,29900
28,48075
29,47315
30,48648
31,55043
32,50914
33,43178
34,29748
35,55018
36,49377
37,52894
38,54806
39,41763
40,27325
41,38048
42,43291
43,45527
44,49995
45,43709
46,36091
47,55232
48,56901
49,31686
50,52268
51,51846
52,37639
53,27757
54,55751
55,56415
56,31008
57,52119
58,48075
59,42012
60,30636
61,59906
62,46669
63,43294
64,46093
65,62434
66,39760
67,51531
68,37956
69,54520
70,29199
71,62096
72,44528
73,40032
74,49482
75,45745
76,27541
77,48635
78,52538
79,37761
80,43258
81,47550
82,51264
83,40618
84,48719
85,28357
86,51826
87,45780
88,46793
89,41458
90,29040
91,40511
92,35064
93,44685
94,21716
95,44269
96,39588
97,56966
98,40849
99,48752
100,48488
