round,total_numsym
1,57587
2,44347
3,76574
4,67196
5,89029
6,71969
7,81974
8,68488
9,103494
10,140724
11,63158
12,82316
13,36878
14,47436
15,60399
16,60687
17,72412
18,41980
19,57383
20,77638
21,55334
22,71032
23,50066
24,36581
25,59787
26,70648
27,65190
28,62001
29,60806
30,57705
31,76492
32,35530
33,76043
34,65580
35,20685
36,68242
37,32520
38,70833
39,83392
40,59109
41,62531
42,28405
43,60326
44,66656
45,26364
46,49751
47,48646
48,40198
49,63375
50,52911
51,42660
52,50887
53,26926
54,53016
55,28911
56,43801
57,78737
58,60451
59,38197
60,56495
61,53673
62,64701
63,66519
64,48741
65,54630
66,62765
67,36850
68,47083
69,62192
70,73422
71,8956
72,13349
73,19929
74,18779
75,50799
76,35323
77,33108
78,28420
79,20108
80,59796
81,52868
82,57948
83,26251
84,60947
85,49808
86,44066
87,36862
88,34078
89,52073
90,22141
91,52533
92,59641
93,72903
94,61754
95,37094
96,54696
97,62315
98,45864
99,63933
100,50896
