round,count
1,4977
2,3846
3,6579
4,5807
5,7706
6,6227
7,7082
8,5890
9,8829
10,12454
11,5483
12,7188
13,3175
14,4072
15,5193
16,5234
17,6214
18,3577
19,4980
20,6648
21,4747
22,6140
23,4287
24,3133
25,5125
26,6101
27,5592
28,5329
29,5260
30,4927
31,6586
32,3051
33,6528
34,5623
35,1762
36,5871
37,2770
38,6115
39,7318
40,5065
41,5359
42,2418
43,5164
44,5699
45,2248
46,4271
47,4147
48,3446
49,5415
50,4515
51,3709
52,4365
53,2291
54,4523
55,2457
56,3748
57,6759
58,5180
59,3249
60,4822
61,4578
62,5563
63,5723
64,4187
65,4701
66,5391
67,3162
68,4013
69,5348
70,6321
71,764
72,1143
73,1695
74,1621
75,4345
76,3018
77,2834
78,2441
79,1711
80,5161
81,4534
82,4991
83,2233
84,5231
85,4239
86,3766
87,3146
88,2963
89,4431
90,1899
91,4483
92,5111
93,6216
94,5263
95,3154
96,4662
97,5340
98,3929
99,5460
100,4363
